Source,Target,Weight
ASV_77301,ASV_18392,-0.928248446
ASV_49051,ASV_18392,-0.983460483
ASV_229559,ASV_18392,-0.943819033
ASV_105307,ASV_18392,-0.859230837
ASV_47217,ASV_183808,-0.843725468
ASV_39919,ASV_183808,-0.759592177
ASV_134663,ASV_183157,-0.882365085
ASV_104963,ASV_183157,-0.844566796
ASV_179946,ASV_182796,-0.963159318
ASV_167553,ASV_182560,-0.602575586
ASV_223705,ASV_181912,-0.62471516
ASV_71396,ASV_181515,-0.813478211
ASV_134592,ASV_181515,-0.880017
ASV_113256,ASV_181515,-0.962912676
ASV_99210,ASV_181116,-0.754817107
